match,market,team,home_team,away_team,line,over_price,under_price,agency
United Arab Emirates v Ireland,Fall of 1st Wicket - Team,United Arab Emirates,United Arab Emirates,Ireland,19.5,1.87,1.87,Sportsbet
United Arab Emirates v Ireland,Fall of 1st Wicket - Team,Ireland,United Arab Emirates,Ireland,21.5,1.87,1.87,Sportsbet
Pakistan v Australia,Fall of 1st Wicket - Team,Pakistan,Pakistan,Australia,21.5,1.87,1.87,Sportsbet
Pakistan v Australia,Fall of 1st Wicket - Team,Australia,Pakistan,Australia,24.5,1.87,1.87,Sportsbet
India v New Zealand,Fall of 1st Wicket - Team,India,India,New Zealand,26.5,1.87,1.87,Sportsbet
India v New Zealand,Fall of 1st Wicket - Team,New Zealand,India,New Zealand,24.5,1.87,1.87,Sportsbet
South Africa v West Indies,Fall of 1st Wicket - Team,South Africa,South Africa,West Indies,27.5,1.87,1.87,Sportsbet
South Africa v West Indies,Fall of 1st Wicket - Team,West Indies,South Africa,West Indies,22.5,1.87,1.87,Sportsbet
Sri Lanka v England,Fall of 1st Wicket - Team,Sri Lanka,Sri Lanka,England,21.5,1.87,1.87,Sportsbet
Sri Lanka v England,Fall of 1st Wicket - Team,England,Sri Lanka,England,25.5,1.87,1.87,Sportsbet
