match,home_team,away_team,start_time,market_name,prop_name,price
England v Scotland,England,Scotland,2024-06-04T14:30:00.000Z,Head To Head,England,1.06
England v Scotland,England,Scotland,2024-06-04T14:30:00.000Z,Head To Head,Scotland,8.5
Netherlands v Nepal,Netherlands,Nepal,2024-06-04T15:30:00.000Z,Head To Head,Netherlands,1.4
Netherlands v Nepal,Netherlands,Nepal,2024-06-04T15:30:00.000Z,Head To Head,Nepal,2.9
India v Ireland,India,Ireland,2024-06-05T14:30:00.000Z,Head To Head,India,1.06
India v Ireland,India,Ireland,2024-06-05T14:30:00.000Z,Head To Head,Ireland,8.5
Australia v Oman,Australia,Oman,2024-06-06T00:30:00.000Z,Head To Head,Australia,1.01
Australia v Oman,Australia,Oman,2024-06-06T00:30:00.000Z,Head To Head,Oman,17
USA v Pakistan,USA,Pakistan,2024-06-06T15:30:00.000Z,Head To Head,USA,8.5
USA v Pakistan,USA,Pakistan,2024-06-06T15:30:00.000Z,Head To Head,Pakistan,1.06
Australia v England,Australia,England,2024-06-08T17:00:00.000Z,Head To Head,Australia,1.8
Australia v England,Australia,England,2024-06-08T17:00:00.000Z,Head To Head,England,2
India v Pakistan,India,Pakistan,2024-06-09T14:30:00.000Z,Head To Head,India,1.36
India v Pakistan,India,Pakistan,2024-06-09T14:30:00.000Z,Head To Head,Pakistan,3.2
